code,level,name,parent
A,1,"NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN",
B,1,KHAI KHOÁNG,
C,1,"CÔNG NGHIỆP CHẾ BIẾN, CHẾ TẠO",
D,1,"SẢN XUẤT VÀ PHÂN PHỐI ĐIỆN, KHÍ ĐỐT, NƯỚC NÓNG, HƠI NƯỚC VÀ ĐIỀU HOÀ KHÔNG KHÍ",
E,1,"CUNG CẤP NƯỚC; HOẠT ĐỘNG QUẢN LÝ VÀ XỬ LÝ RÁC THẢI, NƯỚC THẢI",
F,1,XÂY DỰNG,
G,1,"BÁN BUÔN VÀ BÁN LẺ; SỬA CHỮA Ô TÔ, MÔ TÔ, XE MÁY VÀ XE CÓ ĐỘNG CƠ KHÁC",
H,1,VẬN TẢI KHO BÃI,
I,1,DỊCH VỤ LƯU TRÚ VÀ ĂN UỐNG,
J,1,THÔNG TIN VÀ TRUYỀN THÔNG,
K,1,"HOẠT ĐỘNG TÀI CHÍNH, NGÂN HÀNG VÀ BẢO HIỂM",
L,1,HOẠT ĐỘNG KINH DOANH BẤT ĐỘNG SẢN,
M,1,"HOẠT ĐỘNG CHUYÊN MÔN, KHOA HỌC VÀ CÔNG NGHỆ",
N,1,HOẠT ĐỘNG HÀNH CHÍNH VÀ DỊCH VỤ HỖ TRỢ,
O,1,"HOẠT ĐỘNG CỦA ĐẢNG CỘNG SẢN, TỔ CHỨC CHÍNH TRỊ - XÃ HỘI, QUẢN LÝ NHÀ NƯỚC, AN NINH QUỐC PHÒNG; BẢO ĐẢM XÃ HỘI BẮT BUỘC",
P,1,GIÁO DỤC VÀ ĐÀO TẠO,
Q,1,Y TẾ VÀ HOẠT ĐỘNG TRỢ GIÚP XÃ HỘI,
R,1,"NGHỆ THUẬT, VUI CHƠI VÀ GIẢI TRÍ",
S,1,HOẠT ĐỘNG DỊCH VỤ KHÁC,
T,1,"HOẠT ĐỘNG LÀM THUÊ CÁC CÔNG VIỆC TRONG CÁC HỘ GIA ĐÌNH, SẢN XUẤT SẢN PHẨM VẬT CHẤT VÀ DỊCH VỤ TỰ TIÊU DÙNG CỦA HỘ GIA ĐÌNH",
U,1,HOẠT ĐỘNG CỦA CÁC TỔ CHỨC VÀ CƠ QUAN QUỐC TẾ,
01,2,Nông nghiệp và hoạt động dịch vụ có liên quan,A
02,2,Lâm nghiệp và hoạt động dịch vụ có liên quan,A
03,2,"Khai thác, nuôi trồng thủy sản",A
05,2,Khai thác than cứng và than non,B
06,2,Khai thác dầu thô và khí đốt tự nhiên,B
07,2,Khai thác quặng kim loại,B
08,2,Khai khoáng khác,B
09,2,Hoạt động dịch vụ hỗ trợ khai khoáng,B
10,2,"Sản xuất, chế biến thực phẩm",C
11,2,Sản xuất đồ uống,C
12,2,Sản xuất sản phẩm thuốc lá,C
13,2,Dệt,C
14,2,Sản xuất trang phục,C
15,2,Sản xuất da và các sản phẩm có liên quan,C
16,2,"Chế biến gỗ và sản xuất sản phẩm từ gỗ, tre, nứa (trừ giường, tủ, bàn, ghế); sản xuất sản phẩm từ rơm, rạ và vật liệu tết bện",C
17,2,Sản xuất giấy và sản phẩm từ giấy,C
18,2,"In, sao chép bản ghi các loại",C
19,2,"Sản xuất than cốc, sản phẩm dầu mỏ tinh chế",C
20,2,Sản xuất hoá chất và sản phẩm hoá chất,C
21,2,"Sản xuất thuốc, hoá dược và dược liệu",C
22,2,Sản xuất sản phẩm từ cao su và plastic,C
23,2,Sản xuất sản phẩm từ khoáng phi kim loại khác,C
24,2,Sản xuất kim loại,C
25,2,"Sản xuất sản phẩm từ kim loại đúc sẵn (trừ máy móc, thiết bị)",C
26,2,"Sản xuất sản phẩm điện tử, máy vi tính và sản phẩm quang học",C
27,2,Sản xuất thiết bị điện,C
