code,name,parent
01110,Trồng lúa,0111
01120,Trồng ngô và cây lương thực có hạt khác,0112
01130,Trồng cây lấy củ có chất bột,0113
01140,Trồng cây mía,0114
01150,"Trồng cây thuốc lá, thuốc lào",0115
01160,Trồng cây lấy sợi,0116
01170,Trồng cây có hạt chứa dầu,0117
01181,Trồng rau các loại,0118
01182,Trồng đậu các loại,0118
01183,Trồng hoa hàng năm,0118
01191,Trồng cây gia vị hàng năm,0119
01192,"Trồng cây dược liệu, hương liệu hàng năm",0119
01199,Trồng cây hàng năm khác còn lại,0119
01211,Trồng nho,0121
01212,Trồng cây ăn quả vùng nhiệt đới và cận nhiệt đới,0121
01213,"Trồng cam, quýt và các loại quả có múi khác",0121
01214,"Trồng táo, mận và các loại quả có hạt như táo",0121
01215,"Trồng nhãn, vải, chôm chôm",0121
01219,Trồng cây ăn quả khác,0121
01220,Trồng cây lấy quả chứa dầu,0122
01230,Trồng cây điều,0123
01240,Trồng cây hồ tiêu,0124
01250,Trồng cây cao su,0125
01260,Trồng cây cà phê,0126
01270,Trồng cây chè,0127
01281,Trồng cây gia vị lâu năm,0128
01282,"Trồng cây dược liệu, hương liệu lâu năm",0128
01291,Trồng cây cảnh lâu năm,0129
01299,Trồng cây lâu năm khác còn lại,0129
01310,Nhân và chăm sóc cây giống hàng năm,0131
01320,Nhân và chăm sóc cây giống lâu năm,0132
01411,"Sản xuất giống trâu, bò",0141
01412,"Chăn nuôi trâu, bò",0141
01421,"Sản xuất giống ngựa, lừa",0142
01422,"Chăn nuôi ngựa, lừa, la",0142
01441,"Sản xuất giống dê, cừu, hươu, nai",0144
01442,"Chăn nuôi dê, cừu, hươu, nai",0144
01451,Sản xuất giống lợn,0145
01452,Chăn nuôi lợn,0145
01461,Hoạt động ấp trứng và sản xuất giống gia cầm,0146
01462,Chăn nuôi gà,0146
01463,"Chăn nuôi vịt, ngan, ngỗng",0146
01469,Chăn nuôi gia cầm khác,0146
01490,Chăn nuôi khác,0149
01500,"Trồng trọt, chăn nuôi hỗn hợp",0150
01610,Hoạt động dịch vụ trồng trọt,0161
01620,Hoạt động dịch vụ chăn nuôi,0162
01630,Hoạt động dịch vụ sau thu hoạch,0163
01640,Xử lý hạt giống để nhân giống,0164
01700,"Săn bắt, đánh bẫy và hoạt động dịch vụ có liên quan",0170
02101,Trồng rừng và chăm sóc rừng cây thân gỗ,0210
02102,Trồng rừng và chăm sóc rừng họ tre,0210
02103,Trồng rừng và chăm sóc rừng khác,0210
02104,Ươm giống cây lâm nghiệp,0210
02200,Khai thác gỗ,0220
02310,Khai thác lâm sản khác trừ gỗ,0231
02320,Thu nhặt lâm sản khác trừ gỗ,0232
02400,Hoạt động dịch vụ lâm nghiệp,0240
03110,Khai thác thủy sản biển,0311
03120,Khai thác thủy sản nội địa,0312
03211,Nuôi cá,0321
03212,Nuôi tôm,0321
03213,Nuôi thủy sản khác,0321
03214,Sản xuất giống thủy sản biển,0321
03221,Nuôi cá,0322
03222,Nuôi tôm,0322
03223,Nuôi thủy sản khác,0322
03224,Sản xuất giống thủy sản nội địa,0322
05100,Khai thác và thu gom than cứng,0510
05200,Khai thác và thu gom than non,0520
06100,Khai thác dầu thô,0610
06200,Khai thác khí đốt tự nhiên,0620
07100,Khai thác quặng sắt,0710
07210,Khai thác quặng uranium và quặng thorium,0721
07221,Khai thác quặng bôxít,0722
07229,Khai thác quặng kim loại khác không chứa sắt chưa được phân vào đâu,0722
07300,Khai thác quặng kim loại quý hiếm,0730
08101,Khai thác đá,0810
08102,"Khai thác cát, sỏi",0810
08103,Khai thác đất sét,0810
08910,Khai thác khoáng hoá chất và khoáng phân bón,0891
08920,Khai thác và thu gom than bùn,0892
08930,Khai thác muối,0893
08990,Khai khoáng khác chưa được phân vào đâu,0899
09100,Hoạt động dịch vụ hỗ trợ khai thác dầu thô và khí tự nhiên,0910
09900,Hoạt động dịch vụ hỗ trợ khai khoáng khác,0990
10101,"Giết mổ gia súc, gia cầm",1010
10102,Chế biến và bảo quản thịt,1010
10109,Chế biến và bảo quản các sản phẩm từ thịt,1010
10201,Chế biến và bảo quản thủy sản đông lạnh,1020
10202,Chế biến và bảo quản thủy sản khô,1020
10203,Chế biến và bảo quản nước mắm,1020
10209,Chế biến và bảo quản các sản phẩm khác từ thủy sản,1020
10301,Sản xuất nước ép từ rau quả,1030
10309,Chế biến và bảo quản rau quả khác,1030
10401,"Sản xuất dầu, mỡ động vật",1040
10402,"Sản xuất dầu, bơ thực vật",1040
10500,Chế biến sữa và các sản phẩm từ sữa,1050
10611,Xay xát,1061
10612,Sản xuất bột thô,1061
10620,Sản xuất tinh bột và các sản phẩm từ tinh bột,1062
10710,Sản xuất các loại bánh từ bột,1071
10720,Sản xuất đường,1072
10730,"Sản xuất ca cao, sôcôla và bánh kẹo",1073
10740,"Sản xuất mì ống, mỳ sợi và sản phẩm tương tự",1074
10751,"Sản xuất món ăn, thức ăn chế biến sẵn từ thịt",1075
10752,"Sản xuất món ăn, thức ăn chế biến sẵn từ thủy sản",1075
10759,"Sản xuất món ăn, thức ăn chế biến sẵn khác",1075
10760,Sản xuất chè,1076
10770,Sản xuất cà phê,1077
10790,Sản xuất thực phẩm khác chưa được phân vào đâu,1079
10800,"Sản xuất thức ăn gia súc, gia cầm và thuỷ sản",1080
11010,"Chưng, tinh cất và pha chế các loại rượu mạnh",1101
11020,Sản xuất rượu vang,1102
11030,Sản xuất bia và mạch nha ủ men bia,1103
11041,"Sản xuất nước khoáng, nước tinh khiết đóng chai",1104
11042,Sản xuất đồ uống không cồn,1104
12001,Sản xuất thuốc lá,1200
12009,Sản xuất thuốc hút khác,1200
13110,Sản xuất sợi,1311
13120,Sản xuất vải dệt thoi,1312
13130,Hoàn thiện sản phẩm dệt,1313
13910,"Sản xuất vải dệt kim, vải đan móc và vải không dệt khác",1391
13920,Sản xuất hàng dệt sẵn (trừ trang phục),1392
13930,"Sản xuất thảm, chăn, đệm",1393
13940,Sản xuất các loại dây bện và lưới,1394
13990,Sản xuất các loại hàng dệt khác chưa được phân vào đâu,1399
14100,May trang phục (trừ trang phục từ da lông thú),1410
14200,Sản xuất sản phẩm từ da lông thú,1420
14300,"Sản xuất trang phục dệt kim, đan móc",1430
15110,"Thuộc, sơ chế da; sơ chế và nhuộm da lông thú",1511
15120,"Sản xuất vali, túi xách và các loại tương tự, sản xuất yên đệm",1512
15200,"Sản xuất giày, dép",1520
16101,"Cưa, xẻ và bào gỗ",1610
16102,Bảo quản gỗ,1610
16210,"Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác",1621
16220,Sản xuất đồ gỗ xây dựng,1622
16230,Sản xuất bao bì bằng gỗ,1623
16291,Sản xuất sản phẩm khác từ gỗ,1629
16292,"Sản xuất sản phẩm từ lâm sản (trừ gỗ), cói và vật liệu tết bện",1629
17010,"Sản xuất bột giấy, giấy và bìa",1701
17021,"Sản xuất bao bì bằng giấy, bìa",1702
17022,Sản xuất giấy nhăn và bìa nhăn,1702
17090,Sản xuất các sản phẩm khác từ giấy và bìa chưa được phân vào đâu,1709
18110,In ấn,1811
18120,Dịch vụ liên quan đến in,1812
18200,Sao chép bản ghi các loại,1820
19100,Sản xuất than cốc,1910
19200,Sản xuất sản phẩm dầu mỏ tinh chế,1920
20111,Sản xuất khí công nghiệp,2011
20112,Sản xuất chất nhuộm và chất màu,2011
20113,Sản xuất hóa chất vô cơ cơ bản khác,2011
20114,Sản xuất hoá chất hữu cơ cơ bản khác,2011
20119,Sản xuất hóa chất cơ bản khác,2011
20120,Sản xuất phân bón và hợp chất ni tơ,2012
20131,Sản xuất plastic nguyên sinh,2013
20132,Sản xuất cao su tổng hợp dạng nguyên sinh,2013
20210,Sản xuất thuốc trừ sâu và sản phẩm hoá chất khác dùng trong nông nghiệp,2021
20221,"Sản xuất sơn, véc ni và các chất sơn, quét tương tự, ma tít",2022
20222,Sản xuất mực in,2022
20231,Sản xuất mỹ phẩm,2023
20232,"Sản xuất xà phòng, chất tẩy rửa, làm bóng và chế phẩm vệ sinh",2023
20290,Sản xuất sản phẩm hoá chất khác chưa được phân vào đâu,2029
20300,Sản xuất sợi nhân tạo,2030
21001,Sản xuất thuốc các loại,2100
21002,Sản xuất hoá dược và dược liệu,2100
